V_COD_ESTA,V_COD_TIPO,V_COD_ANESTA,V_NOM_ESTA,V_COD_CUEN,V_COD_CATE,V_COD_PROV,V_COD_DEP,V_COD_DIST,V_COD_ENTI,V_COD_DRE,N_LON_GRAD,N_LON_MIN,N_LON_SEG,N_LON_SIG,N_LAT_GRAD,N_ALT_MTS,N_LAT_MIN,N_LAT_SEG,N_LAT_SIG,V_COD_COND,V_SUB_ESTA,V_CLAS_ESTA,V_COD_ZONA,V_COD_CUENCA,V_NOM_CUENCA,V_COD_POSTAL,N_MIN_HELADA,N_MAX_HELADA
203812,H,203812,MURO,,05,,,,SEN,,,,,-74.916940,,970,,,-14.600280,C,C,CON,,,,,,
115071,M,152170,MINAS CAYLLOMA,,15,,,,SEN,,,,,-71.850280,,"4,889",,,-15.150280,C,C,CON,,,,,,
202929,H,202934,MATUCANA,,06,,,,SEN,,,,,-76.379660,,"2,410",,,-11.840420,C,C,CON,,,,,,
112119,M,155507,MAYOCC,,15,,,,SEN,,,,,-74.383610,,"2,270",,,-12.800280,C,C,CON,,,,,,
110040,M,150903,MAYORARCA,,15,,,,SEN,,,,,-77.348890,,"3,335",,,-10.157750,F,C,CON,,,,,,
111033,M,000562,MAZAMARI,,11,,,,SEN,,,,,-74.516940,,"1,582",,,-11.250280,C,C,CON,,,,,,
103044,M,000150,MAZAN,,12,,,,SEN,,,,,-73.081820,,96,,,-3.488170,F,C,CON,,,,,,
116026,M,000878,MAZO CRUZ,,11,,,,SEN,,,,,-69.715440,,"3,980",,,-16.738880,F,C,CON,,,,,,
116057,M,158345,MAZO CRUZ,,15,,,,SEN,,,,,-69.701670,,"3,970",,,-16.740830,C,C,CON,,,,,,
110071,M,155233,MEZA PATA,,15,,,,SEN,,,,,-75.383610,,"2,310",,,-10.716940,C,C,CON,,,,,,
106008,M,000366,MICHIQUILLAY,,11,,,,SEN,,,,,-78.533610,,"3,550",,,-6.900280,C,C,CON,,,,,,
110023,M,000550,MILPO,,11,,,,SEN,,,,,-76.216940,,"4,256",,,-10.600280,C,C,CON,,,,,,
109039,M,150902,MILPO,,15,,,,SEN,,,,,-77.233330,,"4,400",,,-9.883330,C,C,CON,,,,,,
111144,M,155514,MILLOC,,15,,,,SEN,,,,,-76.349950,,"4,384",,,-11.571310,F,C,CON,,,,,,
4720D05C,O,4720D05C,PISCO,,19,,,,IMP,,,,,-76.290000,,4,,,-13.802780,P,A,SUT,,,,,,
4724E0FC,M2,472070A4,REQUENA,,17,,,,SEN,,,,,-73.836100,,109,,,-5.043100,P,A,SUT,,,,,,
4723F1BE,M1,4723F1BE,MOQUEGUA,,21,,,,SEN,,,,,-70.932670,,"1,420",,,-17.178740,F,A,SUT,,,,,,
47278214,H,4721D2A6,CHOSICA,,22,,,,SEN,,,,,-76.689640,,867,,,-11.929860,F,A,CAM,,,,,,
4725A10C,M1,4724759E,CHAVIN,,21,,,,SEN,,,,,-77.175290,,"3,140",,,-9.585980,F,A,SUT,,,,,,
114109,M,114109,ICA UV,,20,,,,SEN,,,,,-75.724860,,404,,,-14.076190,F,A,SLI,,,,,,
112192,M,112192,ATE,26,20,,,,SEN,,,,,-76.918610,,362,,,-12.026110,F,A,AMB,,,,,,
